game_id,season,team_A,team_B,match_type,sets_A,sets_B,win_A,A_pts_total,A_pts_bp,A_pts_balance,A_srv_total,A_srv_errors,A_srv_aces,A_rec_total,A_rec_errors,A_rec_pos_pct,A_rec_perf_pct,A_atk_total,A_atk_errors,A_atk_blocked,A_atk_points,A_atk_success_pct,A_blk_points,B_pts_total,B_pts_bp,B_pts_balance,B_srv_total,B_srv_errors,B_srv_aces,B_rec_total,B_rec_errors,B_rec_pos_pct,B_rec_perf_pct,B_atk_total,B_atk_errors,B_atk_blocked,B_atk_points,B_atk_success_pct,B_blk_points,diff_pts_total,diff_pts_bp,diff_pts_balance,diff_srv_total,diff_srv_errors,diff_srv_aces,diff_rec_total,diff_rec_errors,diff_rec_pos_pct,diff_rec_perf_pct,diff_atk_total,diff_atk_errors,diff_atk_blocked,diff_atk_points,diff_atk_success_pct,diff_blk_points,A_srv_eff,B_srv_eff,diff_srv_eff,A_atk_eff,B_atk_eff,diff_atk_eff,A_blk_share,B_blk_share,diff_blk_share,A_srv_share,B_srv_share,diff_srv_share,A_errors_total,B_errors_total,diff_errors_total,A_scoreboard_points,B_scoreboard_points,match_total_points,A_errors_rate,B_errors_rate,diff_errors_rate,A_rec_quality_gap,B_rec_quality_gap,diff_rec_quality_gap,sets_sum,loser_sets,A_pts_per_set,B_pts_per_set,diff_pts_per_set,A_scoreboard_pts_per_set,B_scoreboard_pts_per_set,diff_scoreboard_pts_per_set,match_avg_points_per_set,A_errors_per_set,B_errors_per_set,diff_errors_per_set,A_srv_success_pct,B_srv_success_pct,diff_srv_success_pct,A_defense_total,B_defense_total,diff_defense_total,A_pts_rolling3,A_errors_rolling3,A_pts_per_set_rolling3,A_errors_per_set_rolling3,B_pts_rolling3,B_errors_rolling3,B_pts_per_set_rolling3,B_errors_per_set_rolling3,diff_pts_rolling3,diff_errors_rolling3,diff_pts_per_set_rolling3,diff_errors_per_set_rolling3,czy_playoff,A_matches_before,A_win_rate_prev,A_win_rate_last5,A_pts_prev_all,A_errors_prev_all,A_atk_eff_prev_all,A_win_streak_prev3,B_matches_before,B_win_rate_prev,B_win_rate_last5,B_pts_prev_all,B_errors_prev_all,B_atk_eff_prev_all,B_win_streak_prev3,diff_matches_before,diff_win_rate_prev,diff_win_rate_last5,diff_pts_prev_all,diff_errors_prev_all,diff_atk_eff_prev_all,diff_win_streak_prev3,h2h_matches_before,h2h_win_rate_A,h2h_last_result_A,h2h_matches_before_all,h2h_win_rate_A_all,h2h_last_result_A_all
5375,2015/2016,PTPS Piła,KSZO Ostrowiec,3:0,3,0,1,58,23,58,74,3,1,53,4,41,23,92,6,4,50,54,7,48,11,48,62,9,4,70,1,51,27,90,6,6,40,44,4,10,12,10,12,-6,-3,-17,3,-10,-4,2,0,-2,10,10,3,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.43478260869565216,0.3111111111111111,0.12367149758454105,0.1206896551724138,0.08333333333333333,0.03735632183908047,0.017241379310344827,0.08333333333333333,-0.06609195402298851,13,16,-3,74,61,135,0.0593607305936073,0.07207207207207207,-0.012711341478464769,-18,-24,6,3,0,19.333333333333332,16.0,3.333333333333332,24.666666666666668,20.333333333333332,4.333333333333336,45.0,4.333333333333333,5.333333333333333,-1.0,1.3513513513513513,6.451612903225806,-5.100261551874455,57,76,-19,54.0,30.0,13.5,7.5,,,,,,,,,0,1,0.0,0.0,54.0,30.0,0.1836734693877551,0.0,0,,,,,,,1,,,,,,,0,0.5,0.5,0,0.5,0.5
5376,2015/2016,PTPS Piła,Pałac Bydgoszcz,3:0,0,3,0,48,17,48,70,7,1,71,10,47,25,120,6,13,36,30,11,60,30,60,74,3,5,63,5,51,26,124,9,11,42,34,13,-12,-13,-12,-4,4,-4,8,5,-4,-1,-4,-3,2,-6,-4,-2,0.14285714285714285,1.6666666666666667,-1.523809523809524,0.14166666666666666,0.1774193548387097,-0.03575268817204302,0.22916666666666666,0.21666666666666667,0.012499999999999983,0.020833333333333332,0.08333333333333333,-0.0625,23,17,6,65,83,148,0.08812260536398467,0.06513409961685823,0.022988505747126436,-22,-25,3,3,0,16.0,20.0,-4.0,21.666666666666668,27.666666666666668,-6.0,49.333333333333336,7.666666666666667,5.666666666666667,2.0,1.4285714285714286,6.756756756756757,-5.328185328185328,84,74,10,56.0,21.5,16.416666666666664,5.916666666666666,36.0,15.0,12.0,5.0,20.0,6.5,4.416666666666664,0.9166666666666661,0,2,0.5,0.5,56.0,21.5,0.30922803904170365,0.5,2,0.0,0.0,36.5,17.0,0.08505126821370751,0.0,0,0.5,0.5,19.5,4.5,0.22417677082799614,0.5,0,0.5,0.5,0,0.5,0.5
5377,2015/2016,Developres Rzeszów,Muszynianka Muszyna,3:0,0,3,0,40,7,40,54,6,2,66,7,23,9,91,9,9,35,38,3,59,27,59,73,7,7,48,2,46,17,85,3,3,43,51,9,-19,-20,-19,-19,-1,-5,18,5,-23,-8,6,6,6,-8,-13,-6,0.3333333333333333,1.0,-0.6666666666666667,0.18681318681318682,0.43529411764705883,-0.24848093083387202,0.075,0.15254237288135594,-0.07754237288135594,0.05,0.11864406779661017,-0.06864406779661017,22,12,10,52,81,133,0.10426540284360189,0.05825242718446602,0.04601297565913587,-14,-29,15,3,0,13.333333333333334,19.666666666666668,-6.333333333333334,17.333333333333332,27.0,-9.666666666666668,44.333333333333336,7.333333333333333,4.0,3.333333333333333,3.7037037037037033,9.58904109589041,-5.885337392186707,75,51,24,63.0,14.0,21.0,4.666666666666667,39.0,22.0,13.0,7.333333333333333,24.0,-8.0,8.0,-2.666666666666666,0,1,1.0,1.0,63.0,14.0,0.43209876543209874,1.0,2,0.5,0.5,49.0,19.5,0.27043350643486114,0.5,-1,0.5,0.5,14.0,-5.5,0.1616652589972376,0.5,0,0.5,0.5,0,0.5,0.5
5378,2015/2016,KSZO Ostrowiec,Developres Rzeszów,3:1,1,3,0,55,24,55,78,14,6,88,11,39,22,116,11,15,43,37,6,72,44,72,99,11,11,64,6,30,21,109,10,6,46,42,15,-17,-20,-17,-21,3,-5,24,5,9,1,7,1,9,-3,-5,-9,0.42857142857142855,1.0,-0.5714285714285714,0.14655172413793102,0.27522935779816515,-0.12867763366023413,0.10909090909090909,0.20833333333333334,-0.09924242424242426,0.10909090909090909,0.1527777777777778,-0.043686868686868705,36,27,9,82,108,190,0.1276595744680851,0.09926470588235294,0.02839486858573216,-17,-9,-8,4,1,13.75,18.0,-4.25,20.5,27.0,-6.5,47.5,9.0,6.75,2.25,7.6923076923076925,11.11111111111111,-3.418803418803418,103,70,33,,,,,,,,,,,,,0,1,0.0,0.0,48.0,16.0,0.3111111111111111,0.0,2,0.5,0.5,51.5,18.0,0.30945597612264275,0.5,-1,-0.5,-0.5,-3.5,-2.0,0.0016551349884683653,-0.5,0,0.5,0.5,0,0.5,0.5
5379,2015/2016,BKS Bielsko-Biała,Chemik Police,3:0,3,0,1,55,23,55,74,4,5,60,2,48,28,102,6,8,36,35,14,54,21,54,66,6,2,70,5,40,20,126,12,15,44,35,8,1,2,1,8,-2,3,-10,-3,8,8,-24,-6,-7,-8,0,6,1.25,0.3333333333333333,0.9166666666666667,0.21568627450980393,0.1349206349206349,0.08076563958916902,0.2545454545454545,0.14814814814814814,0.10639730639730638,0.09090909090909091,0.037037037037037035,0.05387205387205388,12,23,-11,78,66,144,0.05084745762711865,0.08778625954198473,-0.03693880191486608,-20,-20,0,3,0,18.333333333333332,18.0,0.33333333333333215,26.0,22.0,4.0,48.0,4.0,7.666666666666667,-3.666666666666667,6.756756756756757,3.0303030303030303,3.7264537264537267,68,85,-17,,,,,56.0,19.0,18.666666666666668,6.333333333333333,,,,,0,1,0.0,0.0,30.0,15.0,0.03125,0.0,3,1.0,1.0,57.666666666666664,17.0,0.39753275127308374,1.0,-2,-1.0,-1.0,-27.666666666666664,-2.0,-0.36628275127308374,-1.0,0,0.5,0.5,0,0.5,0.5
5380,2015/2016,Budowlani Łódź,Atom Trefl Sopot,3:1,1,3,0,70,26,70,97,8,4,92,2,40,24,155,18,11,48,31,18,70,28,70,100,8,2,89,4,45,30,162,12,18,57,35,11,0,-2,0,-3,0,2,3,-2,-5,-6,-7,6,-7,-9,-4,7,0.5,0.25,0.25,0.12258064516129032,0.16666666666666666,-0.04408602150537634,0.2571428571428571,0.15714285714285714,0.09999999999999998,0.05714285714285714,0.02857142857142857,0.02857142857142857,28,24,4,94,98,192,0.08139534883720931,0.06837606837606838,0.013019280461140925,-16,-15,-1,4,1,17.5,17.5,0.0,23.5,24.5,-1.0,48.0,7.0,6.0,1.0,4.123711340206185,2.0,2.123711340206185,103,107,-4,,,,,77.0,29.0,15.4,5.8,,,,,0,1,0.0,0.0,33.0,24.0,0.14864864864864866,0.0,2,1.0,1.0,64.0,23.0,0.23930817610062893,1.0,-1,-1.0,-1.0,-31.0,1.0,-0.09065952745198028,-1.0,0,0.5,0.5,0,0.5,0.5
5381,2015/2016,Legionovia,Muszynianka Muszyna,3:1,1,3,0,49,17,49,70,12,5,85,6,43,17,119,8,14,38,32,6,73,41,73,96,11,6,58,5,50,29,133,7,6,53,40,14,-24,-24,-24,-26,1,-1,27,1,-7,-12,-14,1,8,-15,-8,-8,0.4166666666666667,0.5454545454545454,-0.12878787878787873,0.13445378151260504,0.3007518796992481,-0.16629809818664307,0.12244897959183673,0.1917808219178082,-0.06933184232597148,0.10204081632653061,0.0821917808219178,0.01984903550461281,26,23,3,72,99,171,0.0948905109489051,0.08013937282229965,0.01475113812660546,-26,-21,-5,4,1,12.25,18.25,-6.0,18.0,24.75,-6.75,42.75,6.5,5.75,0.75,7.142857142857142,6.25,0.8928571428571423,99,64,35,29.0,16.0,9.666666666666666,5.333333333333333,49.0,17.0,16.333333333333336,5.666666666666666,-20.0,-1.0,-6.66666666666667,-0.33333333333333304,0,2,0.0,0.0,38.0,21.0,0.038055222088835536,0.0,3,0.6666666666666666,0.6666666666666666,52.333333333333336,17.0,0.3253870435055937,0.6666666666666666,-1,-0.6666666666666666,-0.6666666666666666,-14.333333333333336,4.0,-0.28733182141675817,-0.6666666666666666,0,0.5,0.5,0,0.5,0.5
5382,2015/2016,MKS Dąbrowa Górnicza,Volley Wrocław,3:1,3,1,1,65,32,65,89,12,8,73,5,41,25,135,17,10,46,34,11,54,20,54,86,13,5,77,8,38,14,117,5,11,39,33,10,11,12,11,3,-1,3,-4,-3,3,11,18,12,-1,7,1,1,0.6666666666666666,0.38461538461538464,0.282051282051282,0.14074074074074075,0.19658119658119658,-0.05584045584045583,0.16923076923076924,0.18518518518518517,-0.015954415954415935,0.12307692307692308,0.09259259259259259,0.030484330484330496,34,26,8,91,88,179,0.11447811447811448,0.09285714285714286,0.021620971620971624,-16,-24,8,4,1,16.25,13.5,2.75,22.75,22.0,0.75,44.75,8.5,6.5,2.0,8.98876404494382,5.813953488372093,3.174810556571728,83,88,-5,76.0,36.0,15.2,7.2,69.5,24.0,19.875,6.833333333333334,6.5,12.0,-4.675000000000001,0.36666666666666625,0,2,0.0,0.0,62.0,30.5,0.27894145632351,0.0,3,1.0,1.0,65.0,21.666666666666668,0.26509010292502083,1.0,-1,-1.0,-1.0,-3.0,8.833333333333332,0.013851353398489141,-1.0,0,0.5,0.5,0,0.5,0.5
5383,2015/2016,Pałac Bydgoszcz,MKS Dąbrowa Górnicza,3:0,0,3,0,37,16,37,61,9,0,67,6,36,21,101,10,15,31,31,6,52,30,52,73,6,6,52,0,45,21,98,11,6,31,32,15,-15,-14,-15,-12,3,-6,15,6,-9,0,3,-1,9,0,-1,-9,0.0,1.0,-1.0,0.0594059405940594,0.14285714285714285,-0.08345120226308345,0.16216216216216217,0.28846153846153844,-0.12629937629937626,0.0,0.11538461538461539,-0.11538461538461539,25,17,8,54,77,131,0.1091703056768559,0.07623318385650224,0.03293712182035366,-15,-24,9,3,0,12.333333333333334,17.333333333333332,-4.999999999999998,18.0,25.666666666666668,-7.666666666666668,43.666666666666664,8.333333333333334,5.666666666666667,2.666666666666667,0.0,8.21917808219178,-8.21917808219178,82,58,24,37.0,19.0,12.333333333333334,6.333333333333333,48.0,25.0,16.0,8.333333333333334,-11.0,-6.0,-3.666666666666666,-2.000000000000001,0,3,0.3333333333333333,0.3333333333333333,44.333333333333336,17.0,0.11584063042204157,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,63.0,31.666666666666668,0.23287455112925357,0.3333333333333333,0,0.0,0.0,-18.666666666666664,-14.666666666666668,-0.117033920707212,0.0,0,0.5,0.5,0,0.5,0.5
5384,2015/2016,Volley Wrocław,Legionovia,3:0,3,0,1,54,33,54,74,3,5,46,3,33,15,94,8,6,34,36,15,38,13,38,54,8,3,71,5,35,15,99,7,15,29,29,6,16,20,16,20,-5,2,-25,-2,-2,0,-5,1,-9,5,7,9,1.6666666666666667,0.375,1.2916666666666667,0.2127659574468085,0.0707070707070707,0.14205888673973782,0.2777777777777778,0.15789473684210525,0.11988304093567254,0.09259259259259259,0.07894736842105263,0.01364522417153996,14,20,-6,74,52,126,0.06542056074766354,0.08928571428571429,-0.023865153538050743,-18,-20,2,3,0,18.0,12.666666666666666,5.333333333333334,24.666666666666668,17.333333333333332,7.333333333333336,42.0,4.666666666666667,6.666666666666667,-2.0,6.756756756756757,5.555555555555555,1.2012012012012017,52,86,-34,56.0,17.0,18.666666666666668,5.666666666666667,47.0,26.0,15.666666666666666,8.666666666666666,9.0,-9.0,3.0000000000000018,-2.999999999999999,0,4,0.75,0.75,62.25,22.75,0.24796287633906475,0.6666666666666666,3,0.0,0.0,41.666666666666664,22.666666666666668,0.07018807523009203,0.0,1,0.75,0.75,20.583333333333336,0.08333333333333215,0.1777748011089727,0.6666666666666666,0,0.5,0.5,0,0.5,0.5
