game_id,season,date,team_A,team_B,number_of_sets,is_playoff,win_A,diff_atk_eff,diff_so_eff,diff_blk_per_set,diff_atk_blocked_rate,diff_srv_eff,diff_rec_pos_pct,diff_srv_ace_rate,diff_error_total_rate,diff_opp_errors_share,diff_wl_per_set
5439,2015/2016,2015-10-15,Volley Wrocław,KSZO Ostrowiec,3,0,1,0.23858024691358026,0.4539800995024875,2.666666666666666,-0.09799382716049382,0.18573893041978148,9.0,0.04629097182288672,-0.028879892037786778,-0.08115942028985507,13.0
5463,2015/2016,2015-10-16,Legionovia,Budowlani Łódź,3,0,0,-0.3546218487394958,-0.554054054054054,-3.0,0.09831932773109243,-0.058079355951696374,-15.0,-0.007475560667050046,0.022782935581249636,0.09797101449275364,-13.333333333333334
5416,2015/2016,2015-10-17,Developres Rzeszów,Atom Trefl Sopot,3,0,0,-0.0943894389438944,-0.3076923076923077,0.6666666666666665,0.000990099009900991,-0.07420578473210052,-18.0,-0.10810810810810811,0.010327487324411924,0.1080952380952381,-7.0
5365,2015/2016,2015-10-18,Chemik Police,Pałac Bydgoszcz,3,0,1,0.27058823529411763,0.4487804878048781,3.666666666666666,-0.12941176470588234,0.0452054794520548,0.0,-0.0252054794520548,0.00037688442211054884,-0.04999999999999999,11.666666666666668
5428,2015/2016,2015-10-19,Muszynianka Muszyna,PTPS Piła,5,0,1,0.06593406593406592,0.0059676044330776445,0.20000000000000018,-0.01183431952662721,-0.12062997577016268,18.0,-0.019210799584631358,0.013365128660159709,-0.019039451114922834,-0.20000000000000018
5451,2015/2016,2015-10-19,MKS Dąbrowa Górnicza,BKS Bielsko-Biała,5,0,1,0.0731318905675786,0.01041666666666674,1.0,-0.0338505512454063,-0.04191016864251127,13.0,0.014192686592085488,0.014135354414245266,-0.09125062614793786,2.8
5366,2015/2016,2015-10-21,PTPS Piła,Volley Wrocław,4,0,0,-0.06484724067141648,-0.06760644418872264,0.0,0.0070844906009741165,-0.02498483929654336,4.0,-0.04718010915706489,0.012590579710144933,0.170828331332533,-6.75
5377,2015/2016,2015-10-21,Developres Rzeszów,Muszynianka Muszyna,3,0,0,-0.24848093083387202,-0.31818181818181823,-2.0,0.06360698125404007,-0.07407407407407407,-23.0,-0.05885337392186707,0.04601297565913587,0.017435897435897435,-11.666666666666666
5389,2015/2016,2015-10-21,Chemik Police,Atom Trefl Sopot,4,0,1,0.04730916899850329,0.06331168831168832,0.25,-0.013340274614433531,-0.017650186071238708,-7.0,-0.022328548644338114,0.0047325976230899874,-0.008510638297872353,1.0
5497,2015/2016,2015-10-21,KSZO Ostrowiec,MKS Dąbrowa Górnicza,3,0,0,-0.19771007973829482,-0.44116626171468243,-1.3333333333333333,0.04866080556123492,-0.1346153846153846,-21.0,-0.07536382536382537,0.0480072463768116,0.006666666666666654,-10.0
5412,2015/2016,2015-10-23,Budowlani Łódź,BKS Bielsko-Biała,5,0,1,0.04426401257202725,0.08769661710838184,1.5999999999999996,-0.058519793459552494,0.006747638326585703,12.0,-0.012989203778677468,0.0072342957027549115,-0.0012663571127057849,3.0
5401,2015/2016,2015-10-24,Pałac Bydgoszcz,Atom Trefl Sopot,4,0,0,-0.07313715367406642,-0.06631299734748008,-4.5,0.11357769747031493,0.03260869565217391,-11.0,0.015527950310559008,-0.02778513768922332,0.09379509379509379,-6.0
